"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_2614966"	191.9310375	170.3074625	209.5528	171.0682625	226.49891875	189.05531875	186.08764375	177.81759375	235.36209375	221.53599375	212.63359375	171.71246875	182.1137	216.89880625	225.31820625	210.98958125
"ILMN_2754787"	305.0333	258.1617	321.23494375	396.13605625	356.17580625	292.27215625	342.69443125	279.14310625	323.89803125	332.5306875	265.26173125	214.19265625	326.36254375	383.5506375	358.67744375	295.1378875
"ILMN_2519451"	413.4063	506.10485625	446.16639375	430.500075	464.112125	490.7163125	467.57603125	479.56318125	371.3612875	439.61655625	473.1048125	477.97405	422.21536875	438.04120625	464.112125	388.24588125
"ILMN_1226704"	15088.74625	14282.6475	16238.831875	15088.74625	16475.15	14914.08875	15307.384375	15088.74625	15307.384375	15307.384375	14282.6475	16475.15	16711.92625	14623.14125	14623.14125	16238.831875
"ILMN_2864834"	666.1641375	671.1455375	767.61976875	926.36906875	702.4893	774.00280625	713.32231875	829.7211125	799.51641875	740.50103125	851.20089375	804.600525	776.9565625	864.4476375	902.49790625	646.90693125
"ILMN_1236988"	774.00280625	633.13253125	680.726775	659.59561875	689.2030875	658.08196875	617.5817875	671.1455375	675.780175	725.58033125	677.0527	696.08465	678.37416875	636.841625	651.92150625	696.08465
"ILMN_1218488"	197.17526875	171.31930625	190.22409375	172.51669375	193.889125	164.1664375	182.1137	184.21155625	151.72783125	175.4175125	162.18905	166.07261875	129.78790625	148.71078125	173.331925	167.08535
"ILMN_1223598"	144.58245	178.09030625	157.780425	161.2029875	158.5095	177.35290625	195.5602375	182.67915	203.48208125	168.55941875	229.4774375	210.98958125	197.32255625	224.97621875	209.41605	170.3074625
"ILMN_2596412"	448.5433	383.5506375	446.66339375	362.6717625	377.9998	435.834525	420.26523125	367.03693125	394.04749375	412.7310125	455.24595	473.91536875	467.57603125	413.4063	396.13605625	462.35756875
"ILMN_1258732"	905.75931875	1019.45725	847.89654375	896.0754375	969.0447875	969.0447875	896.0754375	965.145725	982.85376875	883.65711875	1008.342275	1014.9745375	961.0600875	1076.29941875	979.019975	1006.665825
"ILMN_3073406"	147.2383625	151.85443125	142.92784375	123.0344625	175.86330625	132.1243	133.785625	122.767801875	137.48253125	163.3473875	133.88411875	128.91345	142.39375625	132.55071875	121.32941375	146.17304375
"ILMN_3163529"	199.52065	213.95326875	181.477025	209.23476875	128.0855	187.26175625	180.06810625	175.86330625	193.1217125	155.77185	167.7258875	175.86330625	181.69739375	228.58955	193.32550625	169.29009375
"ILMN_2985305"	150.802625	125.81295	131.32893125	141.23803125	127.02911875	143.20936875	144.42060625	138.8572	134.38233125	152.5959	145.52283125	140.65983125	162.18905	137.0724	151.07325	160.2796375
"ILMN_2612616"	302.1388625	352.3492	320.77649375	319.89038125	309.26810625	338.3907375	308.05621875	328.41909375	324.99789375	311.62548125	352.3492	316.78564375	310.0308	329.614075	342.1188625	323.38513125
